id;name
1;"Paradise Lost"
2;Sundown
3;"Uncle Meat"
4;"Kid Rock"
5;"Blink 182"
6;Morrissey
7;Sack
8;Therapy?
9;Suede
10;Arid
11;Korn
12;P.O.D.
13;"Manic Street Preachers"
14;"Heather Nova"
15;"Jon Spencer Blues Explosion"
16;"Monster Magnet"
17;"The Hellacopters"
18;Muse
19;JJ72
20;Tool
21;"Red Hot Chili Peppers"
22;"Frank Black & The Holy Catholics"
23;"I Am Kloot"
24;"Fool's Fatal"
25;Defenstration
26;Oil
27;"Tori Amos"
28;"Ben Christophers"
29;"The Tea Party"
30;Cellophane
31;Kirsten
32;"Sixteen Horsepower"
33;"Conway Savage"
34;"Dream Theater"
35;Anthrax
36;Eels
37;"Mc Honky"
38;"Grand Drive"
39;"Daryll Ann"
40;Tacker
41;"The Veils"
42;Delays
43;"Ane Brun"
44;"PJ Harvey"
45;Obi
46;"The Gathering"
47;Sophya
48;"Living Colour"
49;Interpol
50;"Bloc Party"
51;"Ani DiFranco"
52;"Andrew Bird"
53;"Mont Soleil Festival"
54;"Tom McRae"
55;"Joe Purdy"
56;"Maxïmo Mark"
57;"2nd Place Driver"
58;"Maxïmo Park"
59;"The Boyfriends"
60;"Neko Case"
61;"Catherine Irwin"
62;"Kristeen Young"
63;"Eyes Of Eden"
64;Neurosonic
65;"Blonde Redhead"
66;"Porcupine Tree"
67;Anathema
68;"The Cure"
69;"65 Days Of Static"
70;"Blood Red Shoes"
71;Slayer
72;Trivium
73;Mastodon
74;"Amon Amarth"
75;Metric
76;"Secret Handshake Club"
77;"PJ Harvey & John Parish"
78;"Nine Inch Nails"
79;Mew
80;Deftones
81;"Anna Ternheim"
82;"Doll And The Kicks"
83;"Tegan and Sara"
84;Placebo
85;"Silversun Pickups"
86;"Hesta Prynn"
87;"Mark Knopfler"
88;"Taylor Rankin"
89;"Holy State"
90;"The Decemberists"
91;"Blind Pilot"
92;Ghost
93;Katzenjammer
94;"Unni Wilhelmsen"
95;Rush
96;"Iron Maiden"
97;"Rise To Remain"
98;"Arcade Fire"
99;Austra
100;Roxette
101;Mobil
102;"Smashing Pumpkins"
103;"Ringo Deathstarr"
104;Periphery
105;Paceshifters
106;"Ryan Adams"
107;"Lisa Hannigan"
108;"Rhob Cunningham"
109;"Chris Isaak"
110;"Paul Freeman"
111;"Beach House"
112;"Bat For Lashes"
113;"The Joy Formidable"
114;Villagers
115;VoodooSix
116;Waxahatchee
117;"System Of A Down"
118;"Hawk Eyes"
119;"Three Trapped Tigers"
120;Soundgarden
121;Graveyard
122;Polysics
123;Goldfrapp
124;Editors
125;Balthazar
126;"Queens Of The Stoneage"
127;"Band Of Skulls"
128;"Depeche Mode"
129;"Big Deal"
130;"Public Service Broadcasting"
131;"Town Of Saints"
132;"The Charm The Fury"
133;Taymir
134;DeWollf
135;"Chris Chameleon & Daniella Deysel"
136;"God Damn"
137;"Godspeed You! Black Emperor"
138;"Xylourix White"
139;"The Smiths Indeed"
140;"The ObsCure"
141;Kovacs
142;Anouk
143;Primus
144;"Angus & Julia Stone"
145;"Sue The Night"
146;"Royal Blood"
147;"The War On Drugs"
148;"Lenny Kravitz"
149;"The Prodigy"
150;"Death Angel"
151;Novastar
152;"Sufjan Steven"
