id;concert_id;concert_artist_id;support;setlistfm_url;image_url;order
1;1;1;0;https://www.setlist.fm/setlist/paradise-lost/1997/paradiso-grote-zaal-amsterdam-netherlands-43d18fff.html;;1
2;1;2;1;;;2
3;1;3;1;;;3
4;2;4;0;https://www.setlist.fm/setlist/kid-rock/1999/melkweg-the-max-amsterdam-netherlands-4be1b772.html;;1
5;2;5;1;;;2
6;3;6;0;https://www.setlist.fm/setlist/morrissey/1999/poppodium-013-tilburg-netherlands-7bd7d644.html;/images/concerts/1999-10-22-morrissey-6.jpg;1
7;3;7;1;;;2
8;4;8;0;https://www.setlist.fm/setlist/therapy/1999/paradiso-grote-zaal-amsterdam-netherlands-3df29b3.html;;1
9;5;9;0;https://www.setlist.fm/setlist/suede/1999/muziekcentrum-vredenburg-utrecht-netherlands-13c7c5e5.html;;1
10;5;10;1;;;2
11;6;11;0;https://www.setlist.fm/setlist/korn/2000/ahoy-rotterdam-netherlands-73d1cae9.html;/images/concerts/2000-05-22-korn-11.jpg;1
12;6;12;1;;;2
13;7;13;0;https://www.setlist.fm/setlist/manic-street-preachers/1999/megaland-landgraaf-netherlands-1bd751cc.html;/images/concerts/1999-05-24-manic-street-preachers-13.jpg;1
14;8;14;0;https://www.setlist.fm/setlist/heather-nova/1999/megaland-landgraaf-netherlands-73d1c60d.html;/images/concerts/1999-05-24-heather-nova-14.jpg;1
15;9;15;0;https://www.setlist.fm/setlist/the-jon-spencer-blues-explosion/1999/megaland-landgraaf-netherlands-6bd1c60e.html;/images/concerts/1999-05-24-jon-spencer-blues-explosion-15.jpg;1
16;10;16;0;https://www.setlist.fm/setlist/monster-magnet/1999/paradiso-grote-zaal-amsterdam-netherlands-3e73517.html;;1
17;10;17;1;;;2
18;11;8;0;https://www.setlist.fm/setlist/therapy/2000/nighttown-rotterdam-netherlands-7bdaca68.html;;1
19;12;18;0;https://www.setlist.fm/setlist/muse/2001/poppodium-013-tilburg-netherlands-53d7a3b5.html;/images/concerts/2001-03-13-muse-19.jpg;1
20;12;19;1;;;2
21;13;20;0;https://www.setlist.fm/setlist/tool/2001/poppodium-013-tilburg-netherlands-23d6548b.html;/images/concerts/2001-05-24-tool-21.jpg;1
22;14;14;0;https://www.setlist.fm/setlist/heather-nova/2001/melkweg-the-max-amsterdam-netherlands-bda713a.html;/images/concerts/2001-08-16-heather-nova-22.jpg;1
23;15;21;0;https://www.setlist.fm/setlist/red-hot-chili-peppers/2001/jaarbeurs-utrecht-netherlands-3bd53000.html;/images/concerts/2001-08-23-red-hot-chili-peppers-23.jpg;1
24;15;22;1;;;2
25;16;14;0;https://www.setlist.fm/setlist/heather-nova/2001/heineken-music-hall-amsterdam-netherlands-43df775f.html;;1
26;16;23;1;;;2
27;17;8;0;https://www.setlist.fm/setlist/therapy/2001/melkweg-the-max-amsterdam-netherlands-1bc8c1dc.html;;1
28;17;24;1;;;2
29;17;25;1;;;3
30;18;8;0;https://www.setlist.fm/setlist/therapy/2001/nighttown-rotterdam-netherlands-63dacaf3.html;;1
31;18;26;1;;;2
32;18;25;1;;;3
33;19;27;0;https://www.setlist.fm/setlist/tori-amos/2001/heineken-music-hall-amsterdam-netherlands-13d461d1.html;/images/concerts/2001-11-28-tori-amos-33.jpg;1
34;19;28;1;;;2
35;20;29;0;https://www.setlist.fm/setlist/the-tea-party/2001/nighttown-rotterdam-netherlands-33dd4021.html;;1
36;20;30;1;;;2
37;21;10;0;;/images/concerts/2002-06-07-arid-37.jpg;1
38;21;31;1;;;2
39;22;14;0;;/images/concerts/2002-06-14-heather-nova-39.jpg;1
40;23;32;0;https://www.setlist.fm/setlist/16-horsepower/2002/paradiso-grote-zaal-amsterdam-netherlands-73e13ebd.html;/images/concerts/2002-08-24-sixteen-horsepower-40.jpg;1
41;23;33;1;;;2
42;24;34;0;http://www.setlist.fm/setlist/dream-theater/2002/ahoy-rotterdam-netherlands-1bd6cdec.html;;1
43;25;35;0;;/images/concerts/2003-06-22-anthrax-43.jpg;1
44;26;36;0;;/images/concerts/2003-06-26-eels-44.jpg;1
45;26;37;1;;;2
46;27;14;0;;/images/concerts/2003-09-12-heather-nova-46.jpg;1
47;27;38;1;;;2
48;28;14;0;;/images/concerts/2003-09-14-heather-nova-48.jpg;1
49;28;38;1;;;2
50;29;14;0;;/images/concerts/2003-09-15-heather-nova-50.jpg;1
51;29;38;1;;;2
52;30;14;0;;/images/concerts/2003-09-17-heather-nova-52.jpg;1
53;30;39;1;;;2
54;31;8;0;;;1
55;31;40;1;;;2
56;32;34;0;http://www.setlist.fm/setlist/dream-theater/2004/ahoy-rotterdam-netherlands-73d6d275.html;/images/concerts/2004-01-18-dream-theater-56.jpg;1
57;33;41;0;;;1
58;33;42;1;;;2
59;34;43;0;;;1
60;35;44;0;;/images/concerts/2004-06-11-pj-harvey-60.jpg;1
61;36;14;0;;;1
62;36;45;1;;;2
63;37;14;0;;/images/concerts/2004-07-06-heather-nova-63.jpg;1
64;37;45;1;;;2
65;38;46;0;;/images/concerts/2004-10-07-the-gathering-65.jpg;1
66;38;47;1;;;2
67;39;48;0;;;1
68;40;49;0;;/images/concerts/2004-11-22-interpol-68.jpg;1
69;40;50;1;;;2
70;41;51;0;;;1
71;41;52;1;;;2
72;42;14;0;;/images/concerts/2005-08-27-heather-nova-72.jpg;1
73;42;53;1;;;2
74;43;54;0;;/images/concerts/2005-10-26-tom-mcrae-74.jpg;1
75;43;55;1;;;2
76;44;56;0;;/images/concerts/2005-11-03-maximo-mark-76.jpg;1
77;44;57;1;;;2
78;45;58;0;;;1
79;46;43;0;;;1
