persistent_album_id;release_id;artist;title
661226F7C6B54995CB75FCE8EB54DF39;4686594;"Crystal Castles";(II)
CF56C27C8D0FD3CA60ADB04C2F132040;24697412;Björk;"Greatest Hits"
C6302563594E07473AD1D1DCF40B0750;8049654;"David Bowie";Blackstar
A4E5FE07ED55731EAE2AEE68CB527338;13461073;Helloween;"Keeper Of The Seven Keys I"
131D600734917E45CCE77E897F363B91;31111895;Helloween;"Keeper Of The Seven Keys II"
25DFDA169460B4681A15FBD84A61CF7F;632785;Interpol;"The Black Sessions"
EADCD224F63A0645D1AE5C6A8112433E;14919531;Therapy?;"Greatest Hits"
DCEBDC53C0A0FA59BA77752F4E680AD6;13636246;Rammstein;Rammstein
81465266564BF1688F7410B832A9F781;11030016;"Creedence Clearwater Revival";Chronicle
DF862660235D7B7F15BB77FEDC5257AF;401560;"Alice In Chains";"MTV Unplugged"
F7EA225CA8BCD954986CAF719ECBAAAF;6925126;"Angus And Julia Stone";"Angus And Julia Stone"
C3E98F202125C2F25FFFFA78A0965903;427488;"Tori Amos";"Crucify EP"
1CB814FC94D39CDA8FB5C608D9D8011B;910094;"Bad Religion";"Stranger Than Fiction [Single]"
9838372C50CD136174FF65AF822A4708;942427;"Bon Jovi";"Keep The Faith [Single]"
8334A0426C4967A459F4FFA8425CE853;1704702;Boo!;"Pineapple Flavour"
035167678A99D93C4BD8DFF809384C05;3458794;Boo!;"Seventies, Eighties, Nineties, NAUGHTIES!"
970AE3EBEA904171B7EFC172D50BEE09;15936911;"The Cure";"Join The Dots"
14072FF3629A69A7500A5FC7D36A0F08;2937813;"Angus And Julia Stone";"Down The Way / Memories Of And Old Friend"
AEA09FAE6885451A3A0F0682D788ECF4;638541;"Beastie Boys";"Get It Together/Sabotage"
30EC7AF41C0E3F04FA035CB1CAEB756C;10293341;"Chris Chameleon & Daniella Deysel";Posduif
9E1BA5B82C81789A5BB68C745FD3325E;879047;"Faith No More";"The Real Thing [Bootleg]"
7EE6C072C61CA59EA87426C05746F2E3;436768;Muse;Hullabaloo
B5A732FF6887E02E221C877C9AC72D13;1152157;"Nine Inch Nails";"And All That Could Have Been"
18A9D405A2F24591EDEB89CA941639F2;7353462;"Heather Nova";"Oyster [US]"
3BB9B35E0426A711505DB399855060D2;1422616;"Heather Nova";"Maybe An Angel [Japenese Edition]"
7C8D66F35114C7CB0666429469919D74;1704702;Boo!;"Pineapple Flava"
C12C31F98CE7B290FE7C03DC9E9C370B;978822;Kyuss;"Queens Of The Stone Age"
E4CC6A6E5842EBD3C5037A9523451D3D;607396;Morrissey;"Live 91"
43FF9C487774F70826C126AAA9B7B241;4533783;"Heather Nova";"London Rain [UK-2]"
A41482D409BB02BA1041C756AB86557D;2488411;"Heather Nova";"London Rain [UK-1]"
D204BE42B2829202733151DA89450280;742834;"Heather Nova";"Heart And Shoulder [UK-1]"
