Artist	Sort Artist	Album	Album Name	Sort Album	Year	Genre	Disc Number	Disc Count	Grouping	Track Number	Name	Time
Creedence Clearwater Revival	Creedence Clearwater Revival	Greatest Hits	Greatest Hits	2017 - Greatest Hits	2017	Alternative	1	1	(Album) LP (Tas)	1	Down On The Corner	02:00
Creedence Clearwater Revival	Creedence Clearwater Revival	Greatest Hits	Greatest Hits	2017 - Greatest Hits	2017	Alternative	1	1	(Album) LP (Tas)	2	Looking Out My Back Door	02:23
Creedence Clearwater Revival	Creedence Clearwater Revival	Greatest Hits	Greatest Hits	2017 - Greatest Hits	2017	Alternative	1	1	(Album) LP (Tas)	3	Proud Mary	01:56
Creedence Clearwater Revival	Creedence Clearwater Revival	Greatest Hits	Greatest Hits	2017 - Greatest Hits	2017	Alternative	1	1	(Album) LP (Tas)	4	Fortunate Son	02:02
Creedence Clearwater Revival	Creedence Clearwater Revival	Greatest Hits	Greatest Hits	2017 - Greatest Hits	2017	Alternative	1	1	(Album) LP (Tas)	5	Leave My Woman Alone	03:47
Creedence Clearwater Revival	Creedence Clearwater Revival	Greatest Hits	Greatest Hits	2017 - Greatest Hits	2017	Alternative	1	1	(Album) LP (Tas)	6	Hoochie Coochie Man	03:58
Creedence Clearwater Revival	Creedence Clearwater Revival	Greatest Hits	Greatest Hits	2017 - Greatest Hits	2017	Alternative	1	1	(Album) LP (Tas)	7	My Toot Toot	03:27
Creedence Clearwater Revival	Creedence Clearwater Revival	Greatest Hits	Greatest Hits	2017 - Greatest Hits	2017	Alternative	1	1	(Album) LP (Tas)	8	Van Kant Danz	03:20
Creedence Clearwater Revival	Creedence Clearwater Revival	Greatest Hits	Greatest Hits	2017 - Greatest Hits	2017	Alternative	1	1	(Album) LP (Tas)	9	Midnight Special	03:42
Creedence Clearwater Revival	Creedence Clearwater Revival	Greatest Hits	Greatest Hits	2017 - Greatest Hits	2017	Alternative	1	1	(Album) LP (Tas)	10	Bad Moon Rising	02:22
Creedence Clearwater Revival	Creedence Clearwater Revival	Greatest Hits	Greatest Hits	2017 - Greatest Hits	2017	Alternative	1	1	(Album) LP (Tas)	11	The Night Time Is The Right Time	03:08
Creedence Clearwater Revival	Creedence Clearwater Revival	Greatest Hits	Greatest Hits	2017 - Greatest Hits	2017	Alternative	1	1	(Album) LP (Tas)	12	Tombstone Shadow	03:46
Creedence Clearwater Revival	Creedence Clearwater Revival	Greatest Hits	Greatest Hits	2017 - Greatest Hits	2017	Alternative	1	1	(Album) LP (Tas)	13	Sweet Hitch Hiker	02:48
Creedence Clearwater Revival	Creedence Clearwater Revival	Greatest Hits	Greatest Hits	2017 - Greatest Hits	2017	Alternative	1	1	(Album) LP (Tas)	14	Bronco	02:02
Creedence Clearwater Revival	Creedence Clearwater Revival	Greatest Hits	Greatest Hits	2017 - Greatest Hits	2017	Alternative	1	1	(Album) LP (Tas)	15	The Left Alone	01:32
The Smiths	Smiths, The	Hand In Glove	Hand In Glove	5555 - 1983a - Hand In Glove	1983	Alternative	1	1	(Single) 7inch	1	Hand In Glove	03:12
The Smiths	Smiths, The	Hand In Glove	Hand In Glove	5555 - 1983a - Hand In Glove	1983	Alternative	1	1	(Single) 7inch	2	Handsome Devil (Live)	02:53
The Smiths	Smiths, The	Reel Around The Fountain	Reel Around The Fountain	5555 - 1983c - Reel Around The Fountain	1983	Alternative	1	1	(Single) 7inch	1	Reel Around The Fountain	05:51
The Smiths	Smiths, The	Reel Around The Fountain	Reel Around The Fountain	5555 - 1983c - Reel Around The Fountain	1983	Alternative	1	1	(Single) 7inch	2	Jeane	02:53
The Smiths	Smiths, The	This Charming Man	This Charming Man	5555 - 1983e - This Charming Man	1983	Alternative	1	1	(Single) 7inch	1	This Charming Man	02:53
The Smiths	Smiths, The	This Charming Man	This Charming Man	5555 - 1983e - This Charming Man	1983	Alternative	1	1	(Single) 7inch	2	Jeane	03:02
The Smiths	Smiths, The	What Difference Does It Make?	What Difference Does It Make?	5555 - 1984a - What Difference Does It Make?	1984	Alternative	1	1	(Single) 7inch	1	What Difference Does It Make?	03:20
The Smiths	Smiths, The	What Difference Does It Make?	What Difference Does It Make?	5555 - 1984a - What Difference Does It Make?	1984	Alternative	1	1	(Single) 7inch	2	Back To The Old House	03:00
The Smiths	Smiths, The	What Difference Does It Make?	What Difference Does It Make?	5555 - 1984b - What Difference Does It Make?	1984	Alternative	1	1	(EP) 12inch	1	What Difference Does It Make?	03:50
The Smiths	Smiths, The	What Difference Does It Make?	What Difference Does It Make?	5555 - 1984b - What Difference Does It Make?	1984	Alternative	1	1	(EP) 12inch	2	Back To The Old House	03:00
The Smiths	Smiths, The	What Difference Does It Make?	What Difference Does It Make?	5555 - 1984b - What Difference Does It Make?	1984	Alternative	1	1	(EP) 12inch	3	These Things Take Time	02:20
