persistent_id;artist;name
CCAB8EB4668FB20BB6EB089A52FD8EC1;"Ryan Adams";"Giel 3FM"
3994194AE9455FC2C020D94178140C90;Absurd;Shadows
2C71E90DCB9FFEB9E30CE73CAF6A7BA1;"Agua De Annique";"Hey Okey! (Live)"
C3E98F202125C2F25FFFFA78A0965903;"Tori Amos";"Crucify EP"
BBECF0DE089CD75800D95ECB007E70C4;Anathema;"A Moment In Time"
455FF553167F81102D19C9A84B771F47;Anthrax;"Armed And Dangerous"
9F24BECE59F674BADFCA7D8147507398;"Antony And The Johnsons";"Antony And The Johnsons"
4770B3C59CAD6C63798B434B22ACBF0B;"Apocalyptic Vision";Sick
1916336200A2C6A60813991EEEF46664;"Nicole Atkins";"Bleeding Diamonds"
819A554BAB868B8B9ABFAAAABCA3A91D;"Kate Bush";"The Whole Story"
285DB6DC7C706F9045EBA332DE05449F;"Andy Cairns";"Fuck You Johnny Camo"
18D27D91BD8A421A0AD42800FF9BA31C;"Chris Chameleon";"Jy En Ek En Ek En Jy"
5174689EE1E5B2BE7D7DCCE28A58DA6D;"Ben Christophers";Viewfinder
B6FFCD00163F3C64A99762F8032F1A0D;"Bonnie ""Prince"" Billy";"I See A Darkness"
EACE4074232D84EE09D19BC01CEB5F51;"Bonnie ""Prince"" Billy";"The Letting Go"
D9D8D5641FCF7CC7D22D4BE04DF23405;Boo!;Boo!
C3267636037BB2ED7D13D25E6101324C;"Ryan Adams";"Love Is Hell Pt. 2"
FFC95CAEAEE2FED7C0D0CB71445FCF61;"Ryan Adams";"Love Is Hell Pt. 1"
A05C74BF26B6977FEB73D12B6AD370FD;"Michelle Cross";"My Name Is Not Cinderella"
8C3E1678F869FEFD59A258D34152FE59;Deftones;"The Crow (City Of Angels)"
F7D780A1BC4A94E8CBB6D0AD73CDDC3C;"Nick Drake";"Time Of No Reply"
066E3E2A0697157102DF9FF300B1DD0E;E;"A Man Called (E)"
302A44D0D22B5656FC120F8BA418AD7E;E;"Broken Toy Shop"
BDB5D071A50F3E9D8E291DE6BE5930D1;"Faith No More";"B Sides And Alternate Versions"
AD66E33CD504EB150FFD6885207A13A7;"Fontaines D.C.";"Darklands Versions & B-Sides"
D6104CB7859F819CFDCE69F51AA81E85;"The Gathering";"Downfall - The Early Years"
DD3EB720289B4BC616024EBA41BE9CD5;"The Gathering";"Live At Dynamo 1996"
8FE0D14A4536D36F0DB4CE0980B33205;"Ely Guerra";"Sweet & Sour, Hot Y Spicy"
76EE4EB115AECAAE21A1C2D564600306;"PJ Harvey";B-Sides
D818DC567CF32402C11B787E15C9D651;Helloween;"Live In The UK"
2C1191CEDA5FD0C8DD20732D7EB0112A;Interpol;B-Sides
78A8516FC8C6EF4B81A972AF9F957037;Interpol;"Fukd ID #3"
599F03CB0671830585EFC56CD63AEF1D;Interpol;Precipitate
749F55BF9C1D55E5B846044494A08935;Interpol;Live
C41F5E6A40624F52B1B126FFE851A235;"Iron Maiden";"Running Free / Sanctuary "
BA8EF3542A17D786E31ABE45644E70C7;"The Clockworks";"The Clockworks - EP"
8F254A6FF5B26CF0AAA1216A3C229EF9;"The Clockworks";Singles
3A854D360E624B9DB7FFDFC86261E00B;"Depeche Mode";"Live At Mexico Foro Sol Stadium"
32B06DCF15BACA22C2CBC774ABC5A6FE;"Jean-Michel Jarre";"The Essential"
F5D2ED16B99DAFA25D5EFDF128A1C9C9;"Joy Division";"An Ideal For Living"
8C59D782F561BA23DCED7D4CC1A1B8FE;"King Crimson";Vrooom
BD6BD39CD17AFEE6B803833EC17A04C4;"Die Krupps";"III - Odyssey Of The Mind"
CDF5F93472033B21F071EA719771EC15;"Die Krupps";"Paradise Now"
C12C31F98CE7B290FE7C03DC9E9C370B;Kyuss;"Queens Of The Stone Age"
1B09CED222EA8627330A4B1E46659253;Madness;"Ultimate Collection"
76BD6D4425EFDFAC5657CAAA67A050D5;"Colin Meloy";"Colin Meloy Sings Morrissey"
366B845814949C93923499A71F1E7FB0;Monza;Grand
903C919F83F04F11E456D502CC28E817;Monza;Attica!
5E0F331DBF2EFED7DDE6AF248C6A0513;Morrissey;"World Of Morrissey"
748D70986658DDFBBEBFC1807F521F45;Morrissey;"My Early Burglary Years"
