persistent_id;spotify_api_track_custom_id;artist;album;name
8940F050B92B97EB;6uKB4g1BdIj5h5F0KsjrrD;"Tori Amos";"Boys for Pele (Deluxe Edition)";"Hungarian Wedding Song - 2016 Remaster"
76C9C1A744BA3DE5;0NIMPexGQVIWv3qahdX6kw;"Various Artists";"Last Action Hero";"Real World"
262A874DDEAF97C1;5mYjL1KmNh5c1vuuCATFFu;"Tori Amos";"From the Choir Girl Hotel";Iieee
DA435E2826422135;0fS2uwNIs7SNvaW7B4YxCR;"Tori Amos";"To Venus and Back";"Purple People - Live"
DAEF0F330B2186A6;2PNWHj53OdTYSMQsIwJifC;"Tori Amos";"Little Earthquakes (Deluxe Edition)";"Here, in My Head - 2015 Remaster"
C83CC2F2FB459FA4;3fy9sOa4kKAWoc1LUi7ZtY;Anathema;"A Fine Day to Exit (Remastered)";"Release - Remastered"
EEA82F69E5ADE1CB;3ecTpvOkKIxbG6yJXk1GeY;Anthrax;"I'm The Man";"I Am The Law"
A1BAA7A4F318B2B0;12u1SwuwCTverrsA7P8o3P;Anthrax;"Taking the Music Back";Exit
A56406C8FD38812C;4CRpOsjhvgxjF7rQufmyZ1;"The Cure";"The Head On The Door";"Inbetween Days"
8D092FB5578ED80E;7DluJ1cnqkWhqC0i4k0ejj;"Depeche Mode";"101 (Live)";"Black Celebration - Live at Rose Bowl, Pasadena, CA - June 18, 1988"
C13B0D927F762508;0FwU80UKenrpbyRgpKB0ta;Editors;"You Are Fading, Vol. 1 (Bonus Tracks 2005 - 2010)";"Let Your Good Heart Lead You Home"
A4E4A52BDDB19869;5QaurWvCE3PTkzk8DJhnAj;"Iron Maiden";"Live After Death (1998 Remaster)";"Aces High - Live; 1998 Remaster"
E357D16265F83B2D;3vXzzA98UJyOCLjutS9YxB;Morrissey;"The HMV / Parlophone Singles 1988-1995";"I'd Love To"
8136D7D60658B865;3vXzzA98UJyOCLjutS9YxB;Morrissey;"The HMV / Parlophone Singles 1988-1995";"I'd Love To"
60B3412C889B91AC;7nNu4mmw822NRsMUmQPbw9;Suede;"Suede (Remastered)";"So Young (Remastered)"
