persistent_id;artist;album;name
FF8F11A803F43E0D;Absurd;Shadows;"Name Of God"
654294860AA40E4D;Absurd;Shadows;"Dawn Of The Dead"
0F71D4FE0EF4E5C3;Absurd;Shadows;Moribound
3030D805464EA10E;Absurd;Shadows;"Am Ende Der Strasse"
DA02F6DCA0228FE9;Absurd;Shadows;"No Jesus"
5D1EC1478E859655;Absurd;Shadows;"Lost Generation"
CD9471E2956746FF;Absurd;Shadows;Silence
0D4283C06556E1BD;Absurd;Shadows;"Nice Day"
3E3494FF36CCB40B;"Ryan Adams";"Giel 3FM";"Wasted Years (Acoustic)"
179815A508E9EEFF;"Ryan Adams";"Love Is Hell Pt. 2";"Fuck The Universe"
9E24B48C0DEBC805;Aerosmith;"Get A Grip";"Can't Stop Messin'"
89E206560E3F1DFD;"Agua De Annique";Air;"You Are Nice"
28E3CD18C34EA5D5;"Agua De Annique";Air;"Trail Of Grief"
A8BBEB228DFB5235;"Agua De Annique";"Hey Okey! (Live)";"Hey Okey! (Live)"
797E64242CA3FB97;"Alice In Chains";Sap;"Love Song - Take 1"
B4CCF35A8DCB7F97;"Tori Amos";"Crucify EP";"Thank You"
8F9D75B165C7F9CA;Anathema;Judgement;Transacoustic
CD60D5672B329A1B;Anathema;"A Fine Day To Exit";"In The Dog's House"
BA29F0911CC5E03E;Anathema;"A Moment In Time";"Balance (Live)"
AD6AC1A96448ED6E;Anathema;"A Moment In Time";"Closer (Live)"
EBB8B7C602C42B82;Anathema;"A Moment In Time";"Lost Control (Live)"
C82AB3239BB925D4;Anathema;"A Moment In Time";"Empty (Live)"
270931B5A1C7211B;Anathema;"A Moment In Time";"A Natural Disaster (Live)"
07D5CA024573A7CC;Anathema;"A Moment In Time";"Inner Silence (Live)"
E176B1520CB951FE;Anathema;"A Moment In Time";"One Last Goodbye (Live)"
A05C3C02594F6BE8;Anathema;"A Moment In Time";"Judgement (Live)"
01C180B02AD90AB8;Anathema;"A Moment In Time";"Panic (Live)"
9020F52FB8D0F25A;Anathema;"A Moment In Time";"Flying (Live)"
D8D4B4D435A44714;Anathema;"A Moment In Time";"Angelica (Live)"
DA7277BA6B7374A1;Anathema;"A Moment In Time";"Comfortably Numb (Live)"
718B2509DDB7B1D3;Anathema;"A Moment In Time";"Sleepless (Live)"
7C09936F6012C955;Anathema;"A Moment In Time";"A Dying Wish (Live)"
CB9673819BA6CD2E;Anathema;"A Moment In Time";"Albatross (Live)"
